AccountNumber,AcctName,TotalAdoptionPercent,LicensedAdoptionPercent,AdoptionCategoryIndicator,LicensingCategoryIndicator
ACCT0003602,Public Storage,25.925,77.777,2,1
ACCT0003606,Reliance Steel & Aluminum Co,51.851,93.333,5,2
ACCT0003607,SanDisk Corporation,40.74,78.571,4,2
ACCT0003617,Stanford Health Care,51.851,100,5,2
ACCT0003621,Suffolk Construction Co Inc,40.74,122.222,4,1
ACCT0003627,Teledyne Technologies,33.333,128.571,3,1
ACCT0003629,The Irvine Company Inc.,40.74,64.705,4,3
ACCT0003637,USC - Marshall School of Business,29.629,72.727,3,2
ACCT0003641,"VeriSign, Inc.",37.037,66.666,4,2
ACCT0003648,"Xilinx, Inc.",25.925,87.5,2,1
ACCT0003649,Young's Market Co LLC,33.333,64.285,3,2
ACCT0003653,ARC Resources Ltd,44.444,<Null>,4,4
ACCT0003661,Oxford Properties Group Inc,33.333,56.25,3,3
ACCT0003666,Graham Group Ltd.,51.851,93.333,5,2
ACCT0003679,Trimac Transportation,33.333,60,3,2
ACCT0003682,University of Alberta,40.74,78.571,4,2
ACCT0003693,RGF Staffing USA Inc,11.111,23.076,1,2
ACCT0003702,Northern Arizona Healthcare Corp,59.259,94.117,5,3
ACCT0003717,Interfor Corporation,44.444,109.09,4,2
ACCT0003735,First Republic Bank,59.259,100,5,3
ACCT0003749,Pillsbury Winthrop Shaw Pittman LLP,18.518,33.333,2,2
ACCT0003753,"Restoration Hardware, Inc.",51.851,100,5,2
ACCT0003775,"DCP Midstream Partners, LP",44.444,75,4,3
ACCT0003776,Denver International Airport,44.444,85.714,4,2
ACCT0003779,IHS Inc,55.555,136.363,5,2
ACCT0003781,MarkWest Hydrocarbon Inc,33.333,64.285,3,2
ACCT0003791,"UDR, Inc.",37.037,62.5,4,3
ACCT0003798,FBL Financial Group Inc,59.259,100,5,3
ACCT0003852,"G&K Services, Inc.",29.629,57.142,3,2
ACCT0003875,TCF Financial Corp,70.37,633.333,5,1
ACCT0003892,HDR Inc,18.518,55.555,2,1
ACCT0003897,"City of Albuquerque, New Mexico",33.333,64.285,3,2
ACCT0003926,"Associated Food Stores, Inc.",22.222,40,2,2
ACCT0003934,"Overstock.com, Inc.",40.74,<Null>,4,4
ACCT0003943,"Getty Images, Inc.",51.851,87.5,5,3
ACCT0003956,URM Stores Inc,<Null>,<Null>,4,2
ACCT0003977,"Kwik Trip, Inc.",48.148,86.666,5,2
ACCT0003996,Ingram Micro Inc.,51.851,<Null>,5,4
ACCT0004007,Remy International Inc,25.925,77.777,2,1
ACCT0004014,University of Notre Dame,44.444,120,4,1
ACCT0004016,Wabash National Corporation,33.333,100,3,1
ACCT0004018,Zimmer Biomet,18.518,45.454,2,2
ACCT0004023,Humana Inc,33.333,100,3,1
ACCT0004027,Omnicare Inc,59.259,106.666,5,2
ACCT0004029,PharMerica Corporation,37.037,63,4,3
ACCT0004034,University of Kentucky Lexington,44.444,85.714,4,2
ACCT0004036,Abercrombie & Fitch Co,14.814,28.571,2,2
ACCT0004043,"Applied Industrial Technologies, Inc.",25.925,50,2,2
ACCT0004045,Battelle Memorial Institute,51.851,200,5,1
ACCT0004046,Big Lots Inc,18.518,33.333,2,2
ACCT0004047,"Bob Evans Farms, Inc.",48.148,76.47,5,3
ACCT0004048,"Cardinal Health, Inc.",55.555,93.75,5,3
ACCT0004049,Vitas Healthcare,51.851,155.555,5,1
ACCT0004050,Chiquita Brands,48.148,81.25,5,3
ACCT0004064,FirstEnergy Corp,33.333,100,3,1
ACCT0004066,The Huntington National Bank,70.37,118.75,5,3
ACCT0004067,Invacare Corporation,33.333,60,3,2
ACCT0004080,NCR Corporation,44.444,75,4,3
ACCT0004083,Owens Corning,55.555,187.5,5,1
ACCT0004084,"Owens-Illinois General, Inc.",51.851,87.5,5,3
ACCT0004094,E W Scripps,33.333,100,3,1
ACCT0004109,Tufts University,37.037,71,4,2
ACCT0004125,Raymond James Financial Inc,66.666,200,5,1
ACCT0004129,"ScanSource, Inc.",<Null>,<Null>,4,2
ACCT0004149,Infinity Insurance Company,14.814,28.571,2,2
ACCT0004159,Protective Life Corporation,59.259,106.666,5,2
ACCT0004187,"JM Family Enterprises, Inc.",48.148,76.47,5,3
ACCT0004196,Ebsco Industries Inc,55.555,107.142,5,2
ACCT0004200,"Chico's FAS, Inc.",29.629,57.142,3,2
ACCT0004231,Spectrum Brands Inc,22.222,42.857,2,2
ACCT0004236,Dycom Industries Inc,33.333,60,3,2
ACCT0004240,Carnival Corporation & plc US,51.851,77.777,5,3
ACCT0004249,Lennar Corporation,70.37,135.714,5,2
ACCT0004250,AGCO Corporation,44.444,80,4,2
ACCT0004251,Synovus Financial Corp.,55.555,100,5,2
ACCT0004253,Exide Technologies,44.444,80,4,2
ACCT0004265,Genuine Parts Company,66.666,105.882,5,3
ACCT0004278,"Jabil Circuit, Inc.",66.666,105.882,5,3
ACCT0004282,The Home Depot U.S.A. Inc.,44.444,<Null>,4,4
ACCT0004284,ipsos MORI,66.666,120,5,2
ACCT0004286,"Air Products & Chemicals, Inc.",96.296,144.444,5,3
ACCT0004294,"Armstrong World Industries, Inc.",48.148,81.25,5,3
ACCT0004300,Carpenter Technology Corporation,37.037,66.666,4,2
ACCT0004305,Childrens Hospital Of Philadelphia,37.037,71.428,4,2
ACCT0004306,Christiana Care Health Services Inc,11.111,27.272,1,2
ACCT0004307,Clark Construction Group LLC,11.111,30,1,1
ACCT0004315,Day & Zimmermann Group Inc,40.74,68.75,4,3
ACCT0004321,FMC Corporation,51.851,93.333,5,2
ACCT0004330,Harsco Corp,37.037,71.428,4,2
ACCT0004333,Host Hotels & Resorts LP,29.629,80,3,1
ACCT0004337,Kennametal Inc.,29.629,50,3,3
ACCT0004338,Keystone Foods LLC,33.333,64.285,3,2
ACCT0004341,"Legg Mason, Inc.",48.148,86.666,5,2
ACCT0004362,SEI Funds,44.444,85.714,4,2
ACCT0004363,Select Medical Holdings Corporation,48.148,86.666,5,2
ACCT0004370,"T. Rowe Price Group, Inc",25.925,43.75,2,3
ACCT0004375,Toll Brothers,18.518,45.454,2,2
ACCT0004379,"AmeriGas, LLP",44.444,109.09,4,2
ACCT0004382,University Of Pennsylvania,7.407,22.222,1,1
ACCT0004391,W.L. Gore & Associates Inc,40.74,157.142,4,1
ACCT0004393,Wabtec Corp,40.74,84.615,4,2
ACCT0004395,Weis Markets Inc,33.333,112.5,3,1
ACCT0004396,WESCO International Inc,29.629,61.538,3,2
ACCT0004400,Totaljobs Group Ltd (formerly totaljobs.com),22.222,42.857,2,2
ACCT0004401,Yorkshire And Humber Grid For Learning,40.74,73.333,4,2
ACCT0004409,Rexam PLC,55.555,107.142,5,2
ACCT0004412,"University of California, Santa Cruz",37.037,71.428,4,2
ACCT0004416,"Alvarez & Marsal Holdings, LLC",14.814,28.571,2,2
ACCT0004428,American Express Company,51.851,87.5,5,3
ACCT0004452,Cablevision Systems Corporation,48.148,81.25,5,3
ACCT0004453,Campbell Soup Co,37.037,71.428,4,2
ACCT0004457,"Children's Place Retail Stores, Inc.",22.222,85.714,2,1
ACCT0004458,Church & Dwight Co Inc,44.444,92.307,4,2
ACCT0004461,"Coach, Inc.",18.518,33.333,2,2
ACCT0004464,Columbia University,29.629,47.058,3,3
ACCT0004469,Corning Incorporated,33.333,64.285,3,2
ACCT0004471,Covanta Holding Corporation,40.74,78.571,4,2
ACCT0004475,"Delaware North Companies, Inc.",22.222,85.714,2,1
ACCT0004482,Eastman Kodak Company,29.629,57.142,3,2
ACCT0004487,Foot Locker Corporate Services Inc,29.629,114.285,3,1
ACCT0004503,"Henry Schein, Inc.",48.148,86.666,5,2
ACCT0004514,IAC/InterActiveCorp (ask.com),33.333,112.5,3,1
ACCT0004523,ITT Corporation,44.444,75,4,3
ACCT0004525,Jarden Corporation,51.851,<Null>,5,4
ACCT0004533,Kate Spade,55.555,<Null>,5,4
ACCT0004535,Loews Corporation,33.333,60,3,2
ACCT0004550,Moody's Corporation,59.259,100,5,3
ACCT0004558,"NBTY Global, Inc.",48.148,92.857,5,2
ACCT0004565,New York Presbyterian Hospital,44.444,80,4,2
ACCT0004568,Intercontinental Exchange | NYSE,44.444,80,4,2
ACCT0004574,Parsons Brinckerhoff Inc,40.74,73.333,4,2
ACCT0004581,PHH Corporation,59.259,100,5,3
ACCT0004584,Ralph Lauren Corporation,37.037,90.909,4,2
ACCT0004586,PSEG (Public Service Enterprise Group Inc.),29.629,800,3,1
ACCT0004600,Scholastic Corporation,55.555,100,5,2
ACCT0004618,Blackstone Group LP,51.851,87.5,5,3
ACCT0004633,Tiffany and Company,66.666,900,5,1
ACCT0004661,Warner Music Group Corp.,44.444,171.428,4,1
ACCT0004664,"Weight Watchers International, Inc",40.74,73.333,4,2
ACCT0004670,General Electric - Appliance & Lighting,59.259,114.285,5,2
ACCT0004684,EnerNOC. Inc.,37.037,62.5,4,3
ACCT0004686,Ohio State University Medical Center,48.148,86.666,5,2
ACCT0004687,Scottrade Inc,55.555,187.5,5,1
ACCT0004699,Tickets.com,44.444,80,4,2
ACCT0004702,Spotless Services Ltd,29.629,88.888,3,1
ACCT0004707,Kansas State University,40.74,73.333,4,2
ACCT0004726,Rentokil Initial 1927 Plc,51.851,93.333,5,2
ACCT0004735,ASML Netherlands B.V.,37.037,66.666,4,2
ACCT0004748,Grant Thornton LLP,40.74,78.571,4,2
ACCT0004751,National Public Radio Inc,25.925,50,2,2
ACCT0004753,Santander Consumer USA Inc,59.259,100,5,3
ACCT0004754,"Dolby Laboratories, Inc.",37.037,71.428,4,2
ACCT0004755,City Utilities of Springfield Missouri,37.037,66.666,4,2
ACCT0004756,USI Insurance Services LLC,51.851,82.352,5,3
ACCT0004769,Wellcome Trust,40.74,78.571,4,2
ACCT0004772,College Board,33.333,128.571,3,1
ACCT0004781,Virgin Care,40.74,73.333,4,2
ACCT0004784,Fuji Xerox Australia Pty Ltd,37.037,58.823,4,3
ACCT0004798,NHS - London Programme for IT,18.518,<Null>,2,4
ACCT0004803,Mozilla Corp,29.629,50,3,3
ACCT0004838,Domestic & General Services Ltd,29.629,53.333,3,2
ACCT0004839,Cedar Consulting,22.222,<Null>,2,4
ACCT0004842,The Argus Group,14.814,28.571,2,2
ACCT0004849,BP International,44.444,75,4,3
ACCT0004855,Inoapps Ltd. (Formerly Teamsolve Ltd.),22.222,40,2,2
ACCT0004866,Allianz Global Corporate and Specialty,44.444,80,4,2
ACCT0004868,KinderCare Education LLC,33.333,100,3,1
ACCT0004870,Reed Exhibitions Ltd,33.333,64.285,3,2
ACCT0004879,International Flavors and Fragrances,33.333,64.285,3,2
ACCT0004888,NHS - BT Health,14.814,<Null>,2,4
ACCT0004892,State of Iowa,44.444,63.157,4,3
ACCT0004897,Fair Isaac Corporation,81.481,115.789,5,3
ACCT0004901,Willis Group Holdings,62.962,113.333,5,2
ACCT0004902,JT International SA,37.037,62.5,4,3
ACCT0004905,"Lord, Abbett & Co. LLC",44.444,80,4,2
ACCT0004906,Les Schwab Tire Centers,59.259,106.666,5,2
ACCT0004908,BlueShield Of California,74.074,400,5,1
ACCT0004909,Northwestern Medicine,55.555,100,5,2
ACCT0004911,Vector Communications Ltd,40.74,78.571,4,2
ACCT0004916,MSCI Inc,25.925,63.636,2,2
ACCT0004919,TransWorks,25.925,46.666,2,2
ACCT0004932,Acument Global Technologies Inc,22.222,<Null>,2,4
ACCT0004936,Koch Industries Inc,44.444,133.333,4,1
ACCT0004940,Hyatt Corporation,62.962,106.25,5,3
ACCT0004941,County of Tulare,51.851,87.5,5,3
ACCT0004944,Brit Group Services,29.629,53.333,3,2
ACCT0004952,"Taconic Biosciences, Inc.",33.333,<Null>,3,4
ACCT0004957,Philip Morris International,40.74,73.333,4,2
ACCT0004960,Blackboard Inc,62.962,113.333,5,2
ACCT0004962,Asurion Corp,51.851,140,5,1
ACCT0004965,MWAA,25.925,50,2,2
ACCT0004967,Sprint (formerly Clear Wireless Corporation),40.74,78.571,4,2
ACCT0004969,Neustar Inc,44.444,70.588,4,3
ACCT0004976,KPN Corporate Market BV,48.148,86.666,5,2
ACCT0004990,"Zillow Group, Inc.",74.074,117.647,5,3
ACCT0005006,Metcash,44.444,80,4,2
ACCT0005017,PA Consulting,29.629,100,3,1
ACCT0005021,Blue Coat Systems Inc,55.555,93.75,5,3
ACCT0005022,Lantheus Medical Imaging Inc,29.629,57.142,3,2
ACCT0005029,"Synaptics, Incorporated",33.333,64.285,3,2
ACCT0005041,Philips Corporate IT,62.962,425,5,1
ACCT0005044,British Columbia Registry Services,37.037,66.666,4,2
ACCT0005053,Ion Beam Applications SA,48.148,86.666,5,2
ACCT0005058,Western & Southern Financial Group Inc,29.629,61.538,3,2
ACCT0005065,Teradata Corp,33.333,60,3,2
ACCT0005071,Quintiles Transnational Corp,48.148,86.666,5,2
ACCT0005083,Hillsborough County Aviation Authority,7.407,<Null>,1,4
ACCT0005087,YRC Worldwide Inc.,37.037,125,4,1
ACCT0005097,Hearst Magazines,59.259,94.117,5,3
ACCT0005098,Smith & Nephew Inc,55.555,107.142,5,2
ACCT0005102,Yusen Logistics UK (Former NYK),44.444,80,4,2
ACCT0005108,Wincanton PLC,37.037,66.666,4,2
ACCT0005111,Envision Healthcare Inc.,40.74,78.571,4,2
ACCT0005114,State Of Ohio Office Of Information Technology,59.259,106.666,5,2
ACCT0005116,thePlatform for Media Inc.,29.629,57.142,3,2
ACCT0005124,Queensland CITEC,29.629,53.333,3,2
ACCT0005141,"Sub-Zero Group, Inc.",33.333,75,3,2
ACCT0005144,Advertising.com,37.037,66.666,4,2
ACCT0005146,Hazelden Foundation,25.925,46.666,2,2
ACCT0005148,Prime Therapeutics LLC,55.555,100,5,2
ACCT0005154,POWERLINK Queensland,48.148,76.47,5,3
ACCT0005164,KGB,62.962,121.428,5,2
ACCT0005165,Cancer Research UK,37.037,71,4,2
ACCT0005170,Jazz Pharmaceuticals inc,25.925,50,2,2
ACCT0005176,AmWINS Group Inc,40.74,73.333,4,2
ACCT0005178,UBS Financial Services Inc,22.222,42.857,2,2
ACCT0005190,Samson Investment Company,29.629,53.333,3,2
ACCT0005194,University of Virginia,44.444,85.714,4,2
ACCT0005200,TSL Education,33.333,60,3,2
ACCT0005204,Tyco Fire and Security Australia,25.925,50,2,2
ACCT0005209,Richemont Group,37.037,62.5,4,3
ACCT0005221,CyberLink AG,25.925,46.666,2,2
ACCT0005231,Unitus Community Credit Union,40.74,73.333,4,2
ACCT0005241,NetJets Inc,51.851,93.333,5,2
ACCT0005246,Forethought Financial Services Inc (Global Atlantic Financial Company),29.629,114.285,3,1
ACCT0005260,Lennox International Inc,59.259,106.666,5,2
ACCT0005275,NetHope (Worldvision),62.962,113.333,5,2
ACCT0005276,Nintendo of America Inc,55.555,93.75,5,3
ACCT0005277,Cleveland State University,44.444,85.714,4,2
ACCT0005278,Education Management Corporation,33.333,128.571,3,1
ACCT0005281,Northwell Health,22.222,42.857,2,2
ACCT0005286,NYK Logistics North America Inc,18.518,33.333,2,2
ACCT0005287,ESCO Corp,40.74,73.333,4,2
ACCT0005291,Inchcape Management Services Ltd,29.629,53.333,3,2
ACCT0005310,Allied World Assurance Co US Inc,14.814,<Null>,2,4
ACCT0005311,Paramount Pictures,29.629,57.142,3,2
ACCT0005316,Icap Services North America LLC,25.925,46.666,2,2
ACCT0005323,Cravath Swaine & Moore LLP,22.222,66.666,2,1
ACCT0005326,MTA New York City Transit,11.111,30,1,1
ACCT0005330,WPP Group (Core Media),37.037,66.666,4,2
ACCT0005345,Weber State University,44.444,<Null>,4,4
ACCT0005347,"Novant Health, Inc.",51.851,82.352,5,3
ACCT0005350,"Cree, Inc.",37.037,125,4,1
ACCT0005351,Beazley Management Ltd,18.518,55.555,2,1
ACCT0005352,Excellus Health Plan Inc,51.851,140,5,1
ACCT0005373,Everest Reinsurance Group,29.629,114.285,3,1
ACCT0005378,Milgard Windows & Doors,33.333,60,3,2
ACCT0005381,Gibson Energy Inc,51.851,87.5,5,3
ACCT0005388,Mercy Health,55.555,93.75,5,3
ACCT0005396,"NBC Universal, Inc.",51.851,100,5,2
ACCT0005413,Interoute Communication Limited,14.814,28.571,2,2
ACCT0005415,EDP / Energias de Portugal,48.148,86.666,5,2
ACCT0005420,National Gypsum Company,18.518,50,2,1
ACCT0005425,Athene Annuity and Life Company,33.333,128.571,3,1
ACCT0005428,VOYA Financial,40.74,73.333,4,2
ACCT0005429,Futura Services Inc,11.111,23.076,1,2
ACCT0005432,Transzap Inc,48.148,<Null>,5,4
ACCT0005436,Federal Home Loan Bank of San Francisco,48.148,76.47,5,3
ACCT0005438,National Stock Exchange Inc,29.629,50,3,3
ACCT0005440,Centrica plc,40.74,78.571,4,2
ACCT0005443,Fox Entertainment Group Inc,55.555,100,5,2
ACCT0005456,University Of Calgary,22.222,66.666,2,1
ACCT0005469,World Bank Group,40.74,137.5,4,1
ACCT0005472,British Columbia Automobile Association,51.851,82.352,5,3
ACCT0005478,"Einstein Noah Restaurant Group, Inc.",25.925,46.666,2,2
ACCT0005491,Saint Luke's Health System Inc,37.037,62.5,4,3
ACCT0005506,Severn Trent Plc,55.555,100,5,2
ACCT0005525,Simon Fraser University,25.925,43.75,2,3
ACCT0005531,Invensys Inc,48.148,86.666,5,2
ACCT0005533,TGI Friday's Inc.,29.629,53.333,3,2
ACCT0005537,AS Sertifitseerimiskeskus (SK),25.925,50,2,2
ACCT0005545,Flextronics International Ltd.,62.962,100,5,3
ACCT0005550,Kamehameha Schools,18.518,35.714,2,2
ACCT0005556,Sony Pictures Entertainment Inc,37.037,62.5,4,3
ACCT0005560,VMware - One Cloud,55.555,100,5,2
ACCT0005566,Boart Longyear Co,37.037,66.666,4,2
ACCT0005571,"Hain Celestial Group, Inc.",33.333,128.571,3,1
ACCT0005585,Challenger Group Services Pty Limited,33.333,128.571,3,1
ACCT0005593,Queensland Department of Housing and Public Works,37.037,66.666,4,2
ACCT0005594,Queensland WOG - Gold Coast City Council (GCCC),22.222,40,2,2
ACCT0005595,Queensland WOG - Griffith University,25.925,100,2,1
ACCT0005596,Westpac Banking (Capital Finance Australia),48.148,86.666,5,2
ACCT0005598,National Australia Bank Ltd,14.814,26.666,2,2
ACCT0005600,News Ltd,37.037,<Null>,4,4
ACCT0005602,Queensland Health - GCUH,22.222,40,2,2
ACCT0005603,Queensland Transport,37.037,66.666,4,2
ACCT0005604,VISY,51.851,100,5,2
ACCT0005606,University of Western Australia,37.037,76.923,4,2
ACCT0005607,ZettaServe Pty Ltd,25.925,100,2,1
ACCT0005624,JMC Steel Group (Formerly John Maneely Company),55.555,93.75,5,3
ACCT0005630,Neuberger Berman LLC,77.777,131.25,5,3
ACCT0005645,Panasonic Automotive Systems Company of America,44.444,80,4,2
ACCT0005646,Ohio State University Office of Information Technology,62.962,106.25,5,3
ACCT0005650,Atkins Ltd,55.555,100,5,2
ACCT0005661,Wellington Management Co LLP,70.37,211.111,5,1
ACCT0005663,AXIS Capital Holdings Limited,48.148,"1,300",5,1
ACCT0005673,"Tesoro Companies, Inc.",66.666,112.5,5,3
ACCT0005684,Discount Tire Co Inc,48.148,92.857,5,2
ACCT0005693,Tucson Medical Center,44.444,109.09,4,2
ACCT0005695,AMOS of America Inc,<Null>,<Null>,4,3
ACCT0005707,Newport Corporation,29.629,50,3,3
ACCT0005712,Jackson Walker LLC,25.925,50,2,2
ACCT0005722,World Wrestling Entertainment Inc,18.518,35.714,2,2
ACCT0005725,Commonwealth of Pennsylvania,44.444,85.714,4,2
ACCT0005726,"California State University, Fullerton",44.444,80,4,2
ACCT0005737,Multnomah County,33.333,56.25,3,3
ACCT0005742,Intuitive Surgical Inc,7.407,<Null>,1,4
ACCT0005751,Solvinity BV (former ASP4ALL),33.333,60,3,2
ACCT0005752,Skandia Forsaljning AB,48.148,<Null>,5,4
ACCT0005759,Arch Capital Group Inc,29.629,53.333,3,2
ACCT0005766,Centric Consulting LLC,18.518,<Null>,2,4
ACCT0005767,Regeneron Pharmaceuticals Inc,59.259,100,5,3
ACCT0005769,OCLC,48.148,86.666,5,2
ACCT0005773,bwin.party Management (Gibraltar) Ltd,37.037,142.857,4,1
ACCT0005775,SICPA Security Solutions SA,40.74,78.571,4,2
ACCT0005778,Visiting Nurse Service of New York,40.74,73.333,4,2
ACCT0005785,Hanover Insurance Group,48.148,92.857,5,2
ACCT0005788,Commerce Insurance Company,51.851,93.333,5,2
ACCT0005795,Postmedia Network,55.555,100,5,2
ACCT0005796,SaskTel,25.925,100,2,1
ACCT0005806,Tarrant County Information Technology,48.148,81.25,5,3
ACCT0005817,Hughes Network Systems Ltd,14.814,<Null>,2,4
ACCT0005819,University of Birmingham,51.851,93.333,5,2
ACCT0005824,"University of California, San Francisco",51.851,87.5,5,3
ACCT0005825,IOGI SA,40.74,73.333,4,2
ACCT0005830,Rogers Communications Inc,44.444,85.714,4,2
ACCT0005831,Southern Company,37.037,71.428,4,2
ACCT0005837,Alfa Laval Lund AB,37.037,66.666,4,2
ACCT0005838,Air Liquide,44.444,75,4,3
ACCT0005848,"California State University, East Bay",37.037,66.666,4,2
ACCT0005869,FGL Sports Ltd.,59.259,106.666,5,2
ACCT0005872,The RMR Group,48.148,92.857,5,2
ACCT0005885,Bupa Ltd,40.74,68.75,4,3
ACCT0005896,Arkansas Children's Hospital,29.629,88.888,3,1
ACCT0005899,Maricopa County Community College District,11.111,21.428,1,2
ACCT0005906,Gogo LLC,48.148,92.857,5,2
ACCT0005919,Bank of Nova Scotia,33.333,50,3,3
ACCT0005931,Fresenius Medical Care North America,18.518,50,2,1
ACCT0005937,Weston Foods,37.037,90.909,4,2
ACCT0005940,National Bank of Canada,11.111,37.5,1,1
ACCT0005941,National Life Group,33.333,64.285,3,2
ACCT0005951,"Tufts Associated Health Plans, Inc.",25.925,100,2,1
ACCT0005961,Underwriters Laboratories Inc,59.259,106.666,5,2
ACCT0005970,ICAP Plc,33.333,52.941,3,3
ACCT0005972,Aimia Inc,40.74,73.333,4,2
ACCT0005976,Claranet Ltd,44.444,85.714,4,2
ACCT0005978,University of Utah,33.333,56.25,3,3
ACCT0005990,Kesko Oyj,33.333,90,3,1
ACCT0005995,Telereal Trillium Ltd,25.925,50,2,2
ACCT0006001,Duke University Health System Inc,55.555,93.75,5,3
ACCT0006016,Univar Inc,40.74,73.333,4,2
ACCT0006020,Madison Area Technical College,37.037,90.909,4,2
ACCT0006021,City of Surrey,51.851,87.5,5,3
ACCT0006022,Metropolitan Housing Partnership,37.037,62.5,4,3
ACCT0006024,"T-Mobile USA, Inc",85.185,127.777,5,3
ACCT0006029,Honda R&D Americas Inc,25.925,58.333,2,2
ACCT0006035,University of California Los Angeles,51.851,93.333,5,2
ACCT0006037,Harvard University,48.148,86.666,5,2
ACCT0006041,"University of California, Santa Barbara",18.518,35.714,2,2
ACCT0006045,Amarillo College,14.814,26.666,2,2
ACCT0006050,British Council,44.444,80,4,2
ACCT0006128,Arthur J Gallagher & Co (Aus) Limited,25.925,50,2,2
ACCT0006129,Blue Cross of Idaho,48.148,92.857,5,2
ACCT0006131,"Lowe's Companies, Inc",33.333,56.25,3,3
ACCT0006132,South Central Regional Information Center (Broome-Tioga BOCES),37.037,<Null>,4,4
ACCT0006135,DISH Purchasing Corporation,55.555,125,5,2
ACCT0006138,"OS Management, Inc.",77.777,150,5,2
ACCT0006140,University of Warwick,33.333,64.285,3,2
ACCT0006141,Virgin Money plc,37.037,100,4,1
ACCT0006149,"Tailored Shared Services, LLC",44.444,80,4,2
ACCT0006151,Newcastle Upon Tyne Hospitals NHS Foundation Trust,33.333,60,3,2
ACCT0006169,Herbalife International Inc,44.444,80,4,2
ACCT0006177,Invesco Ltd,44.444,66.666,4,3
ACCT0006180,Direct Energy,40.74,73.333,4,2
ACCT0006188,Lafarge North America Inc.,7.407,13.333,1,2
ACCT0006194,John Lewis Plc,48.148,130,5,1
ACCT0006199,Dole Packaged Foods LLC,37.037,<Null>,4,4
ACCT0006200,Dallas Cowboys,44.444,80,4,2
ACCT0006202,Deloitte Services (Customer) USA,29.629,80,3,1
ACCT0006206,Jefferson County,48.148,92.857,5,2
ACCT0006209,Arise Virtual Solutions Inc,48.148,185.714,5,1
ACCT0006211,Payless ShoeSource,37.037,<Null>,4,4
ACCT0006214,City Of Calgary,11.111,<Null>,1,4
ACCT0006219,Viterra Inc.,48.148,92.857,5,2
ACCT0006221,"ACT, Inc.",37.037,66.666,4,2
ACCT0006224,SunPower Corporation,59.259,177.777,5,1
ACCT0006257,Concurrent Technologies Corporation,37.037,66.666,4,2
ACCT0006261,Kaiser Aluminum,25.925,43.75,2,3
ACCT0006264,CareFirst BlueCross BlueShield,29.629,88.888,3,1
ACCT0006275,Barrick Gold Corporation,37.037,90.909,4,2
ACCT0006278,Ontario Lottery and Gaming Corporation,37.037,71.428,4,2
ACCT0006316,Resolute Forest Products Canada Inc.,37.037,76.923,4,2
ACCT0006338,Janney Montgomery Scott LLC,40.74,<Null>,4,4
ACCT0006351,Royal Mail Group Ltd.,51.851,78,5,3
ACCT0006353,Symcor Inc,48.148,92.857,5,2
ACCT0006355,Teck Resources Limited,51.851,200,5,1
ACCT0006358,Kaplan Inc,18.518,55.555,2,1
ACCT0006367,Toyota Financial Services,74.074,133.333,5,2
ACCT0006371,University Of California Los Angeles - Health System,48.148,86.666,5,2
ACCT0006393,University of Portland,33.333,64.285,3,2
ACCT0006397,"California State University, Office of the Chancellor",37.037,66.666,4,2
ACCT0006399,"Equinix, Inc.",29.629,50,3,3
ACCT0006400,"AM/NS Calvert LLC (formerly ThyssenKrupp Steel USA, LLC)",40.74,68.75,4,3
ACCT0006404,Honda North America,18.518,55.555,2,1
ACCT0006412,Rambus Inc.,48.148,81.25,5,3
ACCT0006419,Overwaitea Food Group Limited Partnership,44.444,80,4,2
ACCT0006427,Auckland University Of Technology,48.148,162.5,5,1
ACCT0006441,WOLSELEY (Ferguson),22.222,75,2,1
ACCT0006442,NHS Camden Clinical Commissioning Group (CCG),22.222,42.857,2,2
ACCT0006457,State Of Delaware,48.148,81.25,5,3
ACCT0006479,NYC Dept of Youth & Community Development,29.629,114.285,3,1
ACCT0006489,ArcBest Technologies (frmly Data Tronics Corporation),37.037,66.666,4,2
ACCT0006516,Mediterranean Shipping Company (MSC),48.148,81.25,5,3
ACCT0006540,Thermo Fisher Scientific,18.518,33.333,2,2
ACCT0006542,UMB Financial Corporation,62.962,113.333,5,2
ACCT0006544,Globo.com,44.444,75,4,3
ACCT0006555,Celerion Inc,48.148,86.666,5,2
ACCT0006558,University of California Office of President,33.333,60,3,2
ACCT0006562,Aldo Group,33.333,60,3,2
ACCT0006565,"California State University, Sacramento",59.259,114.285,5,2
ACCT0006569,"University of California, Irvine",44.444,85.714,4,2
ACCT0006577,California State University Los Angeles,14.814,<Null>,2,4
ACCT0006580,Seton Hall University,44.444,80,4,2
ACCT0006581,Gulfstream Aerospace Corp,14.814,44.444,2,1
ACCT0006583,Athabasca University,22.222,85.714,2,1
ACCT0006591,Hennepin County Medical Center,55.555,166.666,5,1
ACCT0006615,F5 Networks Inc,59.259,94.117,5,3
ACCT0006630,Boots,37.037,<Null>,4,4
ACCT0006635,"Bridgepoint Education, Inc.",59.259,106.666,5,2
ACCT0006636,Becton Dickinson GSS,37.037,62.5,4,3
ACCT0006647,HSBC Global Services UK Ltd,11.111,30,1,1
ACCT0006657,"University of California, Davis",22.222,42.857,2,2
ACCT0006667,Kettering Health Network,14.814,30.769,2,2
ACCT0006685,Government of Manitoba,11.111,42.857,1,1
ACCT0006691,ALS Limited,33.333,100,3,1
ACCT0006695,Transcom,55.555,93.75,5,3
ACCT0006701,"Bon-Ton Stores, Inc.",37.037,142.857,4,1
