AccountNumber,AcctName,CustomerAgeCategoryIndicator,AcctPaymentStatusIndicator,RepChangesinLast12Months_SUM,NumberOfProductionInstances_SUM,OptyWonLast12Months_Percent_SUM
ACCT0003048,Ingram Book Group,4,2,1,<Null>,0
ACCT0003049,Inova Health System,3,2,1,1,66.66
ACCT0003058,Lifepoint Corporate Services General Partnership,2,2,2,1,100
ACCT0003069,WestRock Co,3,2,2,1,100
ACCT0003093,Regal Entertainment Group,3,2,2,1,100
ACCT0003100,SAS Institute Inc,3,2,2,1,78.57
ACCT0003102,Sentara Healthcare Inc,2,2,1,1,86.66
ACCT0003110,State Of Tennessee,1,2,1,1,66.66
ACCT0003122,Tractor Supply Company,1,2,1,1,71.42
ACCT0003128,Wake Forest University Baptist Medical Center (WFUBMC),2,2,1,1,60
ACCT0003162,"Brookwood Baptist Health 2, LLC",3,2,2,1,50
ACCT0003193,Nationwide Children's Hospital,2,2,2,1,40
ACCT0003198,City Of Virginia Beach,1,2,2,1,100
ACCT0003222,Denny's Corporation,2,2,2,1,33.33
ACCT0003234,Emory University,4,2,1,1,<Null>
ACCT0003236,"EnPro Industries, Inc.",3,2,2,1,80
ACCT0003243,"Feld Entertainment, Inc.",3,2,1,<Null>,0
ACCT0003258,Franklin Electric Co Inc,2,2,2,1,100
ACCT0003291,ITT Educational Services Inc,1,2,2,1,100
ACCT0003315,LORD Corporation,2,2,1,1,60
ACCT0003320,MasTec Inc,1,2,1,1,100
ACCT0003339,Myers Industries Inc,1,2,3,1,100
ACCT0003342,The National Collegiate Athletic Association (NCAA),3,2,2,1,100
ACCT0003350,Nemours Foundation,2,2,1,1,40
ACCT0003353,Nordson Corporation,3,2,1,1,57.14
ACCT0003355,Northside Hospital Inc,1,2,1,1,50
ACCT0003377,Vidant Pitt County Memorial Hospital Inc,2,2,2,1,33.33
ACCT0003394,Rex Hospital Inc,3,2,1,<Null>,100
ACCT0003413,Serta-Simmons Bedding Company,<Null>,2,2,1,33.33
ACCT0003438,"Tempur-Pedic International, Inc.",3,2,3,1,50
ACCT0003439,Texas Roadhouse Inc.,3,2,2,1,100
ACCT0003473,University Hospitals,1,2,3,1,100
ACCT0003475,University Of Cincinnati,1,2,1,1,100
ACCT0003498,Activision Publishing Inc,1,2,1,1,100
ACCT0003499,Adobe Systems Inc,2,2,2,1,100
ACCT0003500,"Advanced Micro Devices, Inc.",4,2,2,1,0
ACCT0003505,"Allergan, Inc.",2,2,1,1,66.66
ACCT0003509,"AMN Healthcare Services, Inc.",2,2,1,1,100
ACCT0003511,Applied Materials Inc,3,2,2,1,55.55
ACCT0003514,Atmel Corp,4,2,2,1,100
ACCT0003519,Boyd Gaming Corporation,2,2,2,1,100
ACCT0003522,CBRE Inc,4,2,2,2,83.33
ACCT0003523,Cedars-Sinai Medical Center,1,2,1,1,100
ACCT0003533,DaVita Inc.,3,2,2,1,60
ACCT0003536,E&J Gallo Winery,2,2,2,1,66.66
ACCT0003549,Google Inc.,4,2,2,1,100
ACCT0003554,Hawaiian Electric Company Inc.,3,2,1,1,0
ACCT0003555,"Health Net, Inc.",2,2,3,1,<Null>
ACCT0003563,Intuit Inc,2,2,2,2,100
ACCT0003566,Jack in the Box,2,2,4,1,50
ACCT0003567,Jacobs Engineering Group Inc,2,2,1,1,50
ACCT0003571,KLA-Tencor Corporation,3,2,3,1,<Null>
ACCT0003573,Las Vegas Sands Corp,3,2,1,1,72.72
ACCT0003580,"Mattel, Inc.",2,1,4,1,<Null>
ACCT0003583,MemorialCare Health System,2,2,1,1,83.33
ACCT0003587,Molina Healthcare Inc,2,2,1,1,100
ACCT0003590,NetApp Inc.,4,2,1,2,100
ACCT0003594,OXY Inc.,2,2,2,1,60
ACCT0003602,Public Storage,1,2,1,1,50
ACCT0003606,Reliance Steel & Aluminum Co,4,2,1,1,100
ACCT0003607,SanDisk Corporation,4,2,2,1,16.66
ACCT0003609,Scripps Health,1,2,1,1,100
ACCT0003615,Spansion Inc.,4,2,2,<Null>,50
ACCT0003617,Stanford Health Care,3,2,2,1,88.88
ACCT0003621,Suffolk Construction Co Inc,1,2,1,1,66.66
ACCT0003627,Teledyne Technologies,3,2,4,1,100
ACCT0003629,The Irvine Company Inc.,4,2,2,1,66.66
ACCT0003637,USC - Marshall School of Business,2,2,2,1,<Null>
ACCT0003641,"VeriSign, Inc.",4,2,1,1,25
ACCT0003648,"Xilinx, Inc.",4,2,2,1,66.66
ACCT0003649,Young's Market Co LLC,2,2,1,1,100
ACCT0003653,ARC Resources Ltd,3,2,1,1,75
ACCT0003661,Oxford Properties Group Inc,1,2,3,1,100
ACCT0003666,Graham Group Ltd.,2,2,1,1,100
ACCT0003679,Trimac Transportation,3,2,1,1,<Null>
ACCT0003682,University of Alberta,2,2,2,1,0
ACCT0003693,RGF Staffing USA Inc,1,2,4,1,62.5
ACCT0003702,Northern Arizona Healthcare Corp,3,2,1,1,75
ACCT0003717,Interfor Corporation,2,2,1,1,100
ACCT0003718,Ledcor Group Of Companies,1,2,3,1,100
ACCT0003735,First Republic Bank,2,2,2,1,75
ACCT0003749,Pillsbury Winthrop Shaw Pittman LLP,3,2,2,1,50
ACCT0003752,"Redwood Trust, Inc.",2,2,2,<Null>,100
ACCT0003753,"Restoration Hardware, Inc.",3,2,1,1,85.71
ACCT0003775,"DCP Midstream Partners, LP",2,2,4,1,100
ACCT0003776,Denver International Airport,2,2,2,1,80
ACCT0003779,IHS Inc,2,2,3,1,100
ACCT0003781,MarkWest Hydrocarbon Inc,3,2,1,1,100
ACCT0003791,"UDR, Inc.",3,2,1,1,100
ACCT0003798,FBL Financial Group Inc,4,2,3,1,75
ACCT0003852,"G&K Services, Inc.",2,2,1,1,100
ACCT0003875,TCF Financial Corp,2,2,1,1,62.5
ACCT0003892,HDR Inc,1,2,3,1,66.66
ACCT0003897,"City of Albuquerque, New Mexico",2,2,2,1,100
ACCT0003926,"Associated Food Stores, Inc.",2,2,1,1,<Null>
ACCT0003934,"Overstock.com, Inc.",3,2,1,1,75
ACCT0003943,"Getty Images, Inc.",4,2,1,1,100
ACCT0003956,URM Stores Inc,2,2,2,1,80
ACCT0003977,"Kwik Trip, Inc.",3,2,2,1,50
ACCT0003996,Ingram Micro Inc.,4,2,1,1,100
ACCT0004007,Remy International Inc,2,2,2,1,<Null>
ACCT0004014,University of Notre Dame,2,2,1,1,66.66
ACCT0004016,Wabash National Corporation,2,2,2,1,0
ACCT0004018,Zimmer Biomet,2,2,2,1,50
ACCT0004023,Humana Inc,1,2,1,2,100
ACCT0004027,Omnicare Inc,4,2,1,2,0
ACCT0004029,PharMerica Corporation,4,2,2,1,75
ACCT0004034,University of Kentucky Lexington,3,2,2,2,66.66
ACCT0004036,Abercrombie & Fitch Co,2,2,4,1,0
ACCT0004040,"American Electric Power Company, Inc.",3,2,1,<Null>,40
ACCT0004043,"Applied Industrial Technologies, Inc.",3,2,2,1,100
ACCT0004045,Battelle Memorial Institute,2,2,2,1,100
ACCT0004046,Big Lots Inc,2,2,2,1,<Null>
ACCT0004047,"Bob Evans Farms, Inc.",4,2,1,1,62.5
ACCT0004048,"Cardinal Health, Inc.",3,2,1,1,33.33
ACCT0004049,Vitas Healthcare,2,2,1,1,83.33
ACCT0004050,Chiquita Brands,4,2,3,1,100
ACCT0004064,FirstEnergy Corp,1,2,1,1,50
ACCT0004066,The Huntington National Bank,3,2,1,1,50
ACCT0004067,Invacare Corporation,3,2,3,1,50
ACCT0004080,NCR Corporation,3,2,1,2,50
ACCT0004083,Owens Corning,2,2,1,1,83.33
ACCT0004084,"Owens-Illinois General, Inc.",3,2,2,1,75
ACCT0004094,E W Scripps,1,2,1,1,80
ACCT0004109,Tufts University,4,2,1,1,100
ACCT0004125,Raymond James Financial Inc,2,2,1,1,66.66
ACCT0004129,"ScanSource, Inc.",2,2,1,1,66.66
ACCT0004149,Infinity Insurance Company,1,2,2,1,100
ACCT0004159,Protective Life Corporation,4,2,1,1,75
ACCT0004187,"JM Family Enterprises, Inc.",4,2,1,1,66.66
ACCT0004193,Equifax Inc,1,2,1,1,100
ACCT0004196,Ebsco Industries Inc,3,2,1,1,50
ACCT0004200,"Chico's FAS, Inc.",2,2,1,1,<Null>
ACCT0004231,Spectrum Brands Inc,4,2,2,1,66.66
ACCT0004236,Dycom Industries Inc,3,2,1,1,100
ACCT0004240,Carnival Corporation & plc US,2,2,2,1,71.42
ACCT0004249,Lennar Corporation,2,2,1,1,62.5
ACCT0004250,AGCO Corporation,4,2,1,1,0
ACCT0004251,Synovus Financial Corp.,4,2,1,1,100
ACCT0004253,Exide Technologies,3,2,2,1,100
ACCT0004265,Genuine Parts Company,4,2,1,1,75
ACCT0004266,"Health Management Associates, Inc.",3,2,1,<Null>,50
ACCT0004278,"Jabil Circuit, Inc.",3,2,1,2,71.42
ACCT0004282,The Home Depot U.S.A. Inc.,4,2,1,1,54.54
ACCT0004284,ipsos MORI,2,2,3,1,<Null>
ACCT0004286,"Air Products & Chemicals, Inc.",2,2,1,1,75
ACCT0004294,"Armstrong World Industries, Inc.",4,2,1,1,33.33
ACCT0004300,Carpenter Technology Corporation,4,2,1,1,50
ACCT0004304,"Charming Shoppes, Inc.",4,2,2,<Null>,100
ACCT0004305,Childrens Hospital Of Philadelphia,2,2,1,1,0
ACCT0004306,Christiana Care Health Services Inc,2,2,2,1,66.66
ACCT0004307,Clark Construction Group LLC,1,2,1,1,100
ACCT0004308,Comcast Corporation,3,2,2,<Null>,66.66
ACCT0004315,Day & Zimmermann Group Inc,3,2,1,1,100
ACCT0004321,FMC Corporation,4,2,1,1,100
ACCT0004330,Harsco Corp,2,2,1,1,100
ACCT0004333,Host Hotels & Resorts LP,2,2,3,1,<Null>
ACCT0004337,Kennametal Inc.,3,2,1,1,75
ACCT0004338,Keystone Foods LLC,2,2,1,1,33.33
ACCT0004341,"Legg Mason, Inc.",4,2,3,1,50
ACCT0004354,"PNC Bank, NA",2,2,1,<Null>,100
ACCT0004358,Rite Aid Corp,1,2,1,1,66.66
ACCT0004362,SEI Funds,2,2,1,2,83.33
ACCT0004363,Select Medical Holdings Corporation,3,2,2,1,50
ACCT0004370,"T. Rowe Price Group, Inc",3,2,2,1,77.77
ACCT0004375,Toll Brothers,1,2,1,1,75
ACCT0004379,"AmeriGas, LLP",2,2,2,1,66.66
ACCT0004382,University Of Pennsylvania,1,2,2,1,66.66
ACCT0004391,W.L. Gore & Associates Inc,2,2,3,1,83.33
ACCT0004393,Wabtec Corp,1,2,1,1,100
ACCT0004395,Weis Markets Inc,2,2,2,1,100
ACCT0004396,WESCO International Inc,2,2,1,1,100
ACCT0004400,Totaljobs Group Ltd (formerly totaljobs.com),4,2,2,1,100
ACCT0004401,Yorkshire And Humber Grid For Learning,4,2,3,1,33.33
ACCT0004409,Rexam PLC,2,2,1,1,100
ACCT0004412,"University of California, Santa Cruz",4,2,3,1,100
ACCT0004416,"Alvarez & Marsal Holdings, LLC",2,2,3,1,100
ACCT0004428,American Express Company,<Null>,2,1,3,44.44
ACCT0004452,Cablevision Systems Corporation,2,2,1,1,66.66
ACCT0004453,Campbell Soup Co,2,2,1,1,83.33
ACCT0004457,"Children's Place Retail Stores, Inc.",2,2,5,1,<Null>
ACCT0004458,Church & Dwight Co Inc,2,2,1,1,100
ACCT0004459,New York City Human Resources Administration (NYC HRA),1,2,1,1,100
ACCT0004461,"Coach, Inc.",3,2,2,1,0
ACCT0004464,Columbia University,3,2,1,1,33.33
ACCT0004469,Corning Incorporated,3,2,1,1,66.66
ACCT0004471,Covanta Holding Corporation,4,2,4,1,<Null>
ACCT0004475,"Delaware North Companies, Inc.",3,2,1,1,<Null>
ACCT0004482,Eastman Kodak Company,4,2,1,1,100
ACCT0004487,Foot Locker Corporate Services Inc,1,2,2,1,66.66
ACCT0004503,"Henry Schein, Inc.",3,2,3,1,100
ACCT0004514,IAC/InterActiveCorp (ask.com),2,2,3,1,100
ACCT0004523,ITT Corporation,2,2,2,1,<Null>
ACCT0004525,Jarden Corporation,3,2,2,1,80
ACCT0004533,Kate Spade,4,2,2,1,100
ACCT0004535,Loews Corporation,3,2,3,1,100
ACCT0004550,Moody's Corporation,3,2,1,1,100
ACCT0004558,"NBTY Global, Inc.",4,2,4,2,100
ACCT0004565,New York Presbyterian Hospital,2,2,1,1,33.33
ACCT0004568,Intercontinental Exchange | NYSE,4,2,3,1,75
ACCT0004574,Parsons Brinckerhoff Inc,4,2,1,1,100
ACCT0004581,PHH Corporation,4,2,1,1,87.5
ACCT0004584,Ralph Lauren Corporation,3,2,1,1,85.71
ACCT0004586,PSEG (Public Service Enterprise Group Inc.),4,2,1,1,100
ACCT0004600,Scholastic Corporation,4,2,3,1,55.55
ACCT0004618,Blackstone Group LP,3,2,3,1,75
ACCT0004632,WP Company LLC,3,2,2,1,0
ACCT0004633,Tiffany and Company,4,2,1,1,75
ACCT0004661,Warner Music Group Corp.,2,2,3,1,<Null>
ACCT0004664,"Weight Watchers International, Inc",3,2,3,1,100
ACCT0004670,General Electric - Appliance & Lighting,4,2,1,1,50
ACCT0004677,UCAS,4,2,1,<Null>,0
ACCT0004684,EnerNOC. Inc.,4,2,2,1,0
ACCT0004686,Ohio State University Medical Center,4,2,1,1,66.66
ACCT0004687,Scottrade Inc,2,2,1,1,66.66
ACCT0004699,Tickets.com,4,2,3,1,<Null>
ACCT0004702,Spotless Services Ltd,4,2,2,1,0
ACCT0004707,Kansas State University,4,2,2,1,100
ACCT0004726,Rentokil Initial 1927 Plc,3,2,1,1,100
ACCT0004735,ASML Netherlands B.V.,4,2,5,1,75
ACCT0004744,General Electric - GE Healthcare,3,2,1,<Null>,50
ACCT0004748,Grant Thornton LLP,4,2,1,2,50
ACCT0004751,National Public Radio Inc,4,2,2,1,28.57
ACCT0004753,Santander Consumer USA Inc,<Null>,2,3,2,75
ACCT0004754,"Dolby Laboratories, Inc.",4,2,2,1,0
ACCT0004755,City Utilities of Springfield Missouri,4,2,3,1,0
ACCT0004756,USI Insurance Services LLC,4,2,3,1,100
ACCT0004764,Bioreliance Corp,4,2,2,<Null>,83.33
ACCT0004769,Wellcome Trust,4,2,2,1,100
ACCT0004772,College Board,2,2,2,1,71.42
ACCT0004781,Virgin Care,2,2,1,1,50
ACCT0004784,Fuji Xerox Australia Pty Ltd,4,2,2,1,50
ACCT0004798,NHS - London Programme for IT,4,2,1,1,0
ACCT0004799,Linfox,1,2,2,1,75
ACCT0004803,Mozilla Corp,3,2,1,1,33.33
ACCT0004826,Corporation of the Presiding Bishop,2,2,1,1,100
ACCT0004838,Domestic & General Services Ltd,4,2,1,1,100
ACCT0004839,Cedar Consulting,4,2,3,1,100
ACCT0004842,The Argus Group,4,2,2,1,<Null>
ACCT0004849,BP International,2,2,2,1,88.23
ACCT0004855,Inoapps Ltd. (Formerly Teamsolve Ltd.),4,2,2,1,<Null>
ACCT0004866,Allianz Global Corporate and Specialty,4,2,1,1,0
ACCT0004868,KinderCare Education LLC,4,2,3,1,100
ACCT0004870,Reed Exhibitions Ltd,4,2,2,1,25
ACCT0004874,Facebook Inc,4,2,2,<Null>,0
ACCT0004879,International Flavors and Fragrances,4,2,4,1,<Null>
ACCT0004888,NHS - BT Health,4,2,1,1,0
ACCT0004892,State of Iowa,3,2,3,1,55.55
ACCT0004897,Fair Isaac Corporation,3,2,1,1,75
ACCT0004901,Willis Group Holdings,2,2,2,1,72.72
ACCT0004902,JT International SA,4,2,1,1,57.14
ACCT0004905,"Lord, Abbett & Co. LLC",4,2,4,1,75
ACCT0004906,Les Schwab Tire Centers,3,2,1,1,100
ACCT0004908,BlueShield Of California,3,2,1,1,88.88
ACCT0004909,Northwestern Medicine,4,2,1,1,100
ACCT0004911,Vector Communications Ltd,4,2,2,1,60
ACCT0004913,AGL Macquarie Pty Limited,4,2,2,<Null>,20
ACCT0004916,MSCI Inc,1,2,2,1,83.33
ACCT0004919,TransWorks,4,2,2,1,100
ACCT0004932,Acument Global Technologies Inc,4,2,3,1,<Null>
ACCT0004936,Koch Industries Inc,2,2,1,1,93.75
ACCT0004940,Hyatt Corporation,4,2,1,2,50
ACCT0004941,County of Tulare,4,2,1,1,28.57
ACCT0004944,Brit Group Services,4,2,1,1,100
ACCT0004952,"Taconic Biosciences, Inc.",4,2,1,1,50
ACCT0004957,Philip Morris International,4,2,1,1,55.55
ACCT0004960,Blackboard Inc,4,2,1,2,33.33
ACCT0004962,Asurion Corp,2,2,1,1,85.71
ACCT0004965,MWAA,4,2,2,1,25
ACCT0004967,Sprint (formerly Clear Wireless Corporation),4,2,2,1,100
ACCT0004969,Neustar Inc,4,2,1,1,80
ACCT0004976,KPN Corporate Market BV,4,2,3,1,38.46
ACCT0004990,"Zillow Group, Inc.",2,2,1,1,100
ACCT0005006,Metcash,<Null>,2,2,1,0
ACCT0005017,PA Consulting,2,2,1,1,100
ACCT0005021,Blue Coat Systems Inc,4,2,2,1,80
ACCT0005022,Lantheus Medical Imaging Inc,4,2,2,1,100
ACCT0005029,"Synaptics, Incorporated",4,2,1,1,33.33
ACCT0005041,Philips Corporate IT,2,2,4,3,50
ACCT0005043,Cargonaut B.V.,4,2,2,<Null>,0
ACCT0005044,British Columbia Registry Services,4,2,2,1,100
ACCT0005053,Ion Beam Applications SA,4,2,2,1,<Null>
ACCT0005058,Western & Southern Financial Group Inc,1,2,1,1,87.5
ACCT0005065,Teradata Corp,4,2,1,1,100
ACCT0005071,Quintiles Transnational Corp,4,2,2,2,87.5
ACCT0005074,Chaumet Intl SA,1,2,1,<Null>,<Null>
ACCT0005083,Hillsborough County Aviation Authority,1,2,1,1,70
ACCT0005087,YRC Worldwide Inc.,2,2,1,1,100
ACCT0005093,Vancouver Community College,4,2,1,<Null>,<Null>
ACCT0005097,Hearst Magazines,4,2,1,1,100
ACCT0005098,Smith & Nephew Inc,2,2,1,1,94.11
ACCT0005102,Yusen Logistics UK (Former NYK),4,2,2,1,66.66
ACCT0005108,Wincanton PLC,3,2,2,1,100
ACCT0005111,Envision Healthcare Inc.,2,2,3,2,85.71
ACCT0005114,State Of Ohio Office Of Information Technology,2,2,2,1,62.5
ACCT0005116,thePlatform for Media Inc.,2,2,1,1,50
ACCT0005124,Queensland CITEC,4,2,2,1,100
ACCT0005141,"Sub-Zero Group, Inc.",2,2,1,1,66.66
ACCT0005144,Advertising.com,4,2,1,1,100
ACCT0005146,Hazelden Foundation,3,2,3,1,<Null>
ACCT0005148,Prime Therapeutics LLC,4,2,1,1,66.66
ACCT0005154,POWERLINK Queensland,2,2,1,1,85.71
ACCT0005164,KGB,4,2,2,1,100
ACCT0005165,Cancer Research UK,4,2,2,1,0
ACCT0005170,Jazz Pharmaceuticals inc,4,2,2,1,100
ACCT0005176,AmWINS Group Inc,2,2,2,1,80
ACCT0005178,UBS Financial Services Inc,4,2,3,1,50
ACCT0005190,Samson Investment Company,4,1,2,1,<Null>
ACCT0005194,University of Virginia,2,2,2,1,100
ACCT0005200,TSL Education,4,2,1,1,50
ACCT0005204,Tyco Fire and Security Australia,4,2,2,1,50
ACCT0005209,Richemont Group,4,2,1,2,100
ACCT0005221,CyberLink AG,2,2,2,1,<Null>
ACCT0005231,Unitus Community Credit Union,4,2,1,1,100
ACCT0005233,Cottage Health,<Null>,2,1,1,33.33
ACCT0005241,NetJets Inc,3,2,1,1,100
ACCT0005246,Forethought Financial Services Inc (Global Atlantic Financial Company),2,2,2,1,100
ACCT0005260,Lennox International Inc,4,2,3,1,66.66
ACCT0005271,Emerson Climate Technologies Inc,1,2,2,1,80
ACCT0005275,NetHope (Worldvision),4,2,2,3,47.36
ACCT0005276,Nintendo of America Inc,4,2,3,1,50
ACCT0005277,Cleveland State University,2,2,3,1,100
ACCT0005278,Education Management Corporation,2,2,1,1,0
ACCT0005281,Northwell Health,3,2,1,1,40
ACCT0005286,NYK Logistics North America Inc,4,2,3,1,0
ACCT0005287,ESCO Corp,4,2,1,1,<Null>
ACCT0005291,Inchcape Management Services Ltd,4,2,3,1,<Null>
ACCT0005310,Allied World Assurance Co US Inc,4,2,3,1,50
ACCT0005311,Paramount Pictures,4,2,1,1,100
ACCT0005316,Icap Services North America LLC,3,2,1,1,100
ACCT0005317,International Securities Exchange LLC,4,2,2,<Null>,0
ACCT0005323,Cravath Swaine & Moore LLP,1,2,3,1,25
ACCT0005326,MTA New York City Transit,1,2,1,1,100
ACCT0005330,WPP Group (Core Media),4,2,1,1,100
ACCT0005345,Weber State University,3,2,1,1,100
ACCT0005347,"Novant Health, Inc.",3,2,2,1,50
ACCT0005350,"Cree, Inc.",3,2,2,1,<Null>
ACCT0005351,Beazley Management Ltd,1,2,2,1,100
ACCT0005352,Excellus Health Plan Inc,1,2,1,1,66.66
ACCT0005373,Everest Reinsurance Group,2,2,3,1,100
ACCT0005378,Milgard Windows & Doors,4,2,2,1,100
ACCT0005381,Gibson Energy Inc,4,2,1,1,0
ACCT0005388,Mercy Health,3,2,2,1,66.66
ACCT0005391,Healthways Inc.,3,2,1,<Null>,0
ACCT0005396,"NBC Universal, Inc.",2,2,1,1,33.33
ACCT0005413,Interoute Communication Limited,4,2,2,1,100
ACCT0005415,EDP / Energias de Portugal,4,2,3,1,<Null>
ACCT0005420,National Gypsum Company,1,2,1,1,100
ACCT0005425,Athene Annuity and Life Company,2,2,3,1,55.55
ACCT0005428,VOYA Financial,4,2,1,1,42.85
ACCT0005429,Futura Services Inc,1,2,2,1,100
ACCT0005432,Transzap Inc,4,2,1,1,100
ACCT0005436,Federal Home Loan Bank of San Francisco,2,2,1,1,100
ACCT0005438,National Stock Exchange Inc,3,2,4,1,100
ACCT0005440,Centrica plc,4,2,1,1,15.38
ACCT0005443,Fox Entertainment Group Inc,3,2,1,1,90
ACCT0005456,University Of Calgary,1,2,1,1,50
ACCT0005469,World Bank Group,2,2,1,1,100
ACCT0005472,British Columbia Automobile Association,3,2,1,1,33.33
ACCT0005478,"Einstein Noah Restaurant Group, Inc.",3,2,1,1,100
ACCT0005491,Saint Luke's Health System Inc,4,2,2,1,0
ACCT0005506,Severn Trent Plc,4,2,2,2,50
ACCT0005507,E D & F Man Limited (former Man Investments),4,2,1,1,66.66
ACCT0005525,Simon Fraser University,3,1,2,1,100
ACCT0005531,Invensys Inc,4,2,3,1,100
ACCT0005533,TGI Friday's Inc.,4,2,1,1,66.66
ACCT0005535,Falcon Private Bank AG (Formerly AIG Private Bank Ltd.),4,2,2,<Null>,100
ACCT0005537,AS Sertifitseerimiskeskus (SK),4,2,4,1,100
ACCT0005545,Flextronics International Ltd.,4,2,1,1,100
ACCT0005550,Kamehameha Schools,3,2,1,1,66.66
ACCT0005556,Sony Pictures Entertainment Inc,4,2,1,1,100
ACCT0005560,VMware - One Cloud,3,2,1,1,100
ACCT0005561,Morrison & Foerster LLP,4,2,2,1,0
ACCT0005564,NHS Brent & Harrow PCT,4,2,1,<Null>,0
ACCT0005566,Boart Longyear Co,4,2,2,1,<Null>
ACCT0005571,"Hain Celestial Group, Inc.",2,2,4,1,<Null>
ACCT0005585,Challenger Group Services Pty Limited,4,2,2,1,50
ACCT0005593,Queensland Department of Housing and Public Works,4,2,2,1,66.66
ACCT0005594,Queensland WOG - Gold Coast City Council (GCCC),4,2,1,2,66.66
ACCT0005595,Queensland WOG - Griffith University,4,2,1,1,16.66
ACCT0005596,Westpac Banking (Capital Finance Australia),4,2,3,1,100
ACCT0005598,National Australia Bank Ltd,1,2,2,1,16.66
ACCT0005600,News Ltd,3,2,2,1,66.66
ACCT0005602,Queensland Health - GCUH,2,2,2,1,20
ACCT0005603,Queensland Transport,4,2,2,1,100
ACCT0005604,VISY,4,2,1,1,50
ACCT0005606,University of Western Australia,4,2,1,1,0
ACCT0005607,ZettaServe Pty Ltd,4,2,2,1,100
ACCT0005624,JMC Steel Group (Formerly John Maneely Company),4,2,2,1,50
ACCT0005630,Neuberger Berman LLC,3,2,2,1,66.66
ACCT0005645,Panasonic Automotive Systems Company of America,3,2,3,1,75
ACCT0005646,Ohio State University Office of Information Technology,4,2,1,1,0
ACCT0005650,Atkins Ltd,4,2,1,1,100
ACCT0005657,OLVG,4,2,2,<Null>,0
ACCT0005661,Wellington Management Co LLP,4,2,1,1,62.5
ACCT0005663,AXIS Capital Holdings Limited,4,2,1,2,100
ACCT0005668,Loma Linda University Health,1,2,1,1,100
ACCT0005673,"Tesoro Companies, Inc.",3,2,3,1,100
ACCT0005684,Discount Tire Co Inc,4,2,2,1,62.5
ACCT0005689,Direct Edge Inc,4,2,5,<Null>,100
ACCT0005693,Tucson Medical Center,2,2,3,1,<Null>
ACCT0005695,AMOS of America Inc,2,2,2,1,33.33
ACCT0005707,Newport Corporation,4,2,1,1,<Null>
ACCT0005712,Jackson Walker LLC,4,2,1,1,100
ACCT0005722,World Wrestling Entertainment Inc,1,2,1,1,100
ACCT0005725,Commonwealth of Pennsylvania,2,2,1,1,50
ACCT0005726,"California State University, Fullerton",4,2,2,1,100
ACCT0005737,Multnomah County,3,2,1,1,<Null>
ACCT0005739,"Brinks, Inc.",3,2,2,<Null>,100
ACCT0005742,Intuitive Surgical Inc,1,2,2,1,100
ACCT0005751,Solvinity BV (former ASP4ALL),3,2,2,1,66.66
ACCT0005752,Skandia Forsaljning AB,4,2,1,2,75
ACCT0005759,Arch Capital Group Inc,3,2,6,1,100
ACCT0005760,Great American Insurance Group,4,2,2,<Null>,100
ACCT0005766,Centric Consulting LLC,2,2,4,1,50
ACCT0005767,Regeneron Pharmaceuticals Inc,4,2,1,1,75
ACCT0005769,OCLC,4,2,1,1,25
ACCT0005773,bwin.party Management (Gibraltar) Ltd,4,2,2,1,0
ACCT0005775,SICPA Security Solutions SA,4,2,1,3,20
ACCT0005778,Visiting Nurse Service of New York,2,2,1,1,0
ACCT0005785,Hanover Insurance Group,4,2,2,1,<Null>
ACCT0005788,Commerce Insurance Company,4,2,2,1,<Null>
ACCT0005795,Postmedia Network,4,2,1,1,100
ACCT0005796,SaskTel,2,2,1,1,75
ACCT0005806,Tarrant County Information Technology,4,2,3,1,100
ACCT0005817,Hughes Network Systems Ltd,4,2,1,1,100
ACCT0005819,University of Birmingham,4,2,1,1,66.66
ACCT0005821,Red Bull North America,4,2,2,<Null>,100
ACCT0005824,"University of California, San Francisco",4,2,3,1,85.71
ACCT0005825,IOGI SA,4,2,1,1,<Null>
ACCT0005830,Rogers Communications Inc,2,1,1,1,30.76
ACCT0005831,Southern Company,2,2,1,1,55.55
ACCT0005837,Alfa Laval Lund AB,3,2,2,1,63.63
ACCT0005838,Air Liquide,3,2,1,1,70
ACCT0005848,"California State University, East Bay",3,2,2,1,50
ACCT0005869,FGL Sports Ltd.,4,2,1,1,60
ACCT0005872,The RMR Group,4,2,2,1,50
ACCT0005885,Bupa Ltd,3,2,1,1,0
ACCT0005896,Arkansas Children's Hospital,1,2,2,1,60
ACCT0005899,Maricopa County Community College District,2,2,4,1,<Null>
ACCT0005906,Gogo LLC,3,2,3,1,100
ACCT0005919,Bank of Nova Scotia,3,2,1,2,100
ACCT0005931,Fresenius Medical Care North America,1,2,1,1,80
ACCT0005937,Weston Foods,2,2,1,1,62.5
ACCT0005940,National Bank of Canada,2,2,1,1,<Null>
ACCT0005941,National Life Group,2,2,3,1,100
ACCT0005948,RONA Inc.,3,2,2,<Null>,100
ACCT0005951,"Tufts Associated Health Plans, Inc.",2,2,2,1,80
ACCT0005955,Siemens Plc (UK),3,2,2,<Null>,0
ACCT0005961,Underwriters Laboratories Inc,4,2,1,1,100
ACCT0005970,ICAP Plc,4,2,1,1,10
ACCT0005972,Aimia Inc,4,2,1,1,80
ACCT0005976,Claranet Ltd,4,2,3,1,83.33
ACCT0005978,University of Utah,3,2,1,1,100
ACCT0005986,Arbitron Inc,3,2,4,<Null>,0
